ISO 19115 Topic Category Keyword,URI,Domain Code,Label,Definition
farming,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/farming,1,Agriculture and Farming,"rearing of animals and/or cultivation of plants Examples: agriculture, irrigation, aquaculture, plantations, herding, pests and diseases affecting crops and livestock"
biota,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/biota,2,Biology and Ecology,"flora and/or fauna in natural environment Examples: wildlife, vegetation, biological sciences, ecology, wilderness, sealife, wetlands, habitat"
boundaries,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/boundaries,3,Administrative and Political Boundaries,legal land descriptions Examples: political and administrative boundaries
climatologyMeteorologyAtmosphere,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/climatologyMeteorologyAtmosphere,4,Atmospheric and Climatic,"processes and phenomena of the atmosphere. Examples: cloud cover, weather, climate, atmospheric conditions, climate change, precipitation"
economy,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/economy,5,Business and Economics,"economic activities, conditions and employment. Examples: production, labour, revenue, commerce, industry, tourism and ecotourism, forestry, fisheries, commercial or subsistence hunting, exploration and exploitation of resources such as minerals, oil and gas"
elevation,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/elevation,6,Elevation and Derived Products,"height above or below sea level Examples: altitude, bathymetry, digital elevation models, slope, derived products"
environment,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/environment,7,Environment and Conversation,"environmental resources, protection and conservation Examples: environmental pollution, waste storage and treatment, environmental impact assessment, monitoring environmental risk, nature reserves, landscape"
geoscientificInformation,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/geoscientificInformation,8,Geological and Geophysical,"information pertaining to earth sciences Examples: geophysical features and processes, geology, minerals, sciences dealing with the composition, structure and origin of the earthâ€™s rocks, risks of earthquakes, volcanic activity, landslides, gravity information, soils, permafrost, hydrogeology, erosion"
health,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/health,9,Human Health and Disease,"health, health services, human ecology, and safety Examples: disease and illness, factors affecting health, hygiene, substance abuse, mental and physical health, health services"
imageryBaseMapsEarthCover,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/imageryBaseMapsEarthCover,10,Imagery and Base Maps,"base maps Examples: land cover, topographic maps, imagery, unclassified images, annotations"
intelligenceMilitary,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/intelligenceMilitary,11,Military,"military bases, structures, activities Examples: barracks, training grounds, military transportation, information collection"
inlandWaters,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/inlandWaters,12,Inland Water Resources,"inland water features, drainage systems and their characteristics Examples: rivers and glaciers, salt lakes, water utilization plans, dams, currents, floods, water quality, hydrographic charts"
location,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/location,13,Locations and Geodetic Networks,"positional information and services Examples: addresses, geodetic networks, control points, postal zones and services, place names"
oceans,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/oceans,14,Oceans and Estuaries,"features and characteristics of salt water bodies (excluding inland waters) Examples: tides, tidal waves, coastal information, reefs"
planningCadastre,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/planningCadastre,15,Cadastral,"information used for appropriate actions for future use of the land Examples: land use maps, zoning maps, cadastral surveys, land ownership"
society,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/society,16,"Cultural, Society and Demographics","characteristics of society and cultures Examples: settlements, anthropology, archaeology, education, traditional beliefs, manners and customs, demographic data, recreational areas and activities, social impact assessments, crime and justice, census information"
structure,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/structure,17,Facilities and Structures,"man-made construction Examples: buildings, museums, churches, factories, housing, monuments, shops, towers"
transportation,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/transportation,18,Transportation Networks,"means and aids for conveying persons and/or goods Examples: roads, airports/airstrips, shipping routes, tunnels, nautical charts, vehicle or vessel location, aeronautical charts, railways"
utilitiesCommunication,http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/utilitiesCommunication,19,Utilities and Communication,"energy, water and waste systems and communications infrastructure and services Examples: hydroelectricity, geothermal, solar and nuclear sources of energy, water purification and distribution, sewage collection and disposal, electricity and gas distribution, data communication, telecommunication, radio, communication networks"
